"dataelement","period","orgunit","categoryoptioncombo","value","storedby","timestamp","comment","followup"
"cI3OTahNbFi","2011","P8s0O46HD0a","P3p47Zcxn1C",1992,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","PfBBVGzd0Af","P3p47Zcxn1C",8840,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","NoNe735vyrI","P3p47Zcxn1C",3350,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","P4b0gt6aXhj","P3p47Zcxn1C",2565,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","ZXE5QP9h6IW","P3p47Zcxn1C",6576,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","WsWS08YAVx6","P3p47Zcxn1C",5329,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","W00gxsHfmH6","P3p47Zcxn1C",6601,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","OgWlFu9Kmxz","P3p47Zcxn1C",4877,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","GLTooEckxpR","P3p47Zcxn1C",3929,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","CSVimgDBGFd","P3p47Zcxn1C",7455,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","bMneJ2I4IwV","P3p47Zcxn1C",2275,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","nj7kEMm7gJK","P3p47Zcxn1C",3547,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","qka2jV6Hpza","P3p47Zcxn1C",4093,"admin","2013-01-30T07:27:01+0000","Import from R","false"
"cI3OTahNbFi","2011","NS12vPAChEG","P3p47Zcxn1C",12136,"admin","2013-01-30T07:27:01+0000","Import from R","false"
